STATE,estimated_total_population
Alabama,4887871.00
Alaska,737438.00
Arizona,7171646.00
Arkansas,3013825.00
California,39557045.00
Colorado,5695564.00
Connecticut,3572665.00
Delaware,967171.00
District of Columbia,702455.00
Florida,21299325.00
Georgia,10519475.00
Hawaii,1420491.00
Idaho,1754208.00
Illinois,12741080.00
Indiana,6691878.00
Iowa,3156145.00
Kansas,2911510.00
Kentucky,4468402.00
Louisiana,4659978.00
Maine,1338404.00
Maryland,6042718.00
Massachusetts,6902149.00
Michigan,9995915.00
Minnesota,5611179.00
Mississippi,2986530.00
Missouri,6126452.00
Montana,1062305.00
Nebraska,1929268.00
Nevada,3034392.00
New Hampshire,1356458.00
New Jersey,8908520.00
New Mexico,2095428.00
New York,19542209.00
North Carolina,10383620.00
North Dakota,760077.00
Ohio,11689442.00
Oklahoma,3943079.00
Oregon,4190713.00
Pennsylvania,12807060.00
Rhode Island,1057315.00
South Carolina,5084127.00
South Dakota,882235.00
Tennessee,6770010.00
Texas,28701845.00
United States,327167439.00
Utah,3161105.00
Vermont,626299.00
Virginia,8517685.00
Washington,7535591.00
West Virginia,1805832.00
Wisconsin,5813568.00
Wyoming,577737.00
