STATE,life_expty_est
Alabama,75.1
Alaska,78
Arizona,78.7
Arkansas,75.6
California,80.8
Colorado,80
Connecticut,80.4
Delaware,77.8
District of Columbia,77.7
Florida,78.9
Georgia,77.2
Hawaii,81
Idaho,79
Illinois,78.8
Indiana,76.8
Iowa,79.2
Kansas,78
Kentucky,75.3
Louisiana,75.6
Maine,78.6
Maryland,78.5
Massachusetts,80.1
Michigan,77.7
Minnesota,80.5
Mississippi,74.6
Missouri,76.6
Montana,78.7
Nebraska,79.1
Nevada,77.9
New Hampshire,79.1
New Jersey,79.8
New Mexico,77.2
New York,80.5
North Carolina,77.6
North Dakota,79.3
Ohio,76.8
Oklahoma,75.6
Oregon,79.7
Pennsylvania,78.1
Rhode Island,79.8
South Carolina,76.5
South Dakota,78.9
Tennessee,75.5
Texas,78.4
Utah,79.6
Vermont,79.3
Virginia,79
Washington,80
West Virginia,74.4
Wisconsin,79.3
Wyoming,78.1
